experiment_id,study_id,edited_parent_strain,control_strain,cargo,construct,conditions,host_effect,notes
ZHU2012_CHY,ZHU2012,NSlD1-sD2,SlD-AKC1,bovine chymosin,PamyB::amyB-kex2-CHY::TamyB::niaD,"5x DPY, pH 5.5 (5.3 by d4), 20 mL, 30C, 2e5 conidia, 3-6 d",no_reported_defect,"Protease and tripeptidyl peptidase activity both fell in the disruptant (TPP ~40% lower), supporting reduced degradation as the mechanism."
ZHU2012_HLY,ZHU2012,NSlD1-sD2,SlD-HLY1,human lysozyme,PamyB::amyB-kex2-HLY::TamyB::niaD,"5x DPY, pH 8.0 (6.5 by d4), 100 mL, 30C, 1e6 conidia, 3-6 d",no_reported_defect,Smaller gain than the chymosin experiment; the authors suggest the different pH may contribute to the difference.
YOON2010_CHY,YOON2010,NSlDv10,SlD-AKC1,bovine chymosin,PamyB::amyB-kex2-CHY::TamyB::niaD,"5x DPY, pH 5.5, 20 mL, 30C, 2e5 conidia, 3-5 d",no_reported_defect,"Protease activity rose later in culture, which may help explain the drop in secretion after day 5. Native alpha-amylase was unaffected."
YOON2010_HLY,YOON2010,NSlDv10,SlD-HLY1,human lysozyme,PamyB::amyB-kex2-HLY::TamyB::niaD,"5x DPY, pH 8.0, 100 mL, 30C, 1e6 conidia, 3-5 d",no_reported_defect,
JIN2007_PEPA,JIN2007,NAR-2L-7,NA-2L,human lysozyme,PamyB::amyB-kex2-HLY-kex2-HLY::TamyB::sC (pA2LS),"5x DPY, pH 8.0 (7.8 by end), 100 mL, 30C, 1e6 conidia, 3-5 d",no_reported_defect,"No significant improvement at pH 8.0, despite PepA being an important heterologous-protein protease in A. niger. ΔpepA did increase HLY at acidic pH, but no numeric value was reported and production remained below the pH 8.0 condition."
JIN2007_PEPE,JIN2007,NAR-2L-7,NA-2L,human lysozyme,PamyB::amyB-kex2-HLY-kex2-HLY::TamyB::sC (pA2LS),"5x DPY, pH 8.0 (7.8 by end), 100 mL, 30C, 1e6 conidia, 3-5 d",no_reported_defect,
JIN2007_ALPA,JIN2007,NAR-2L-7,NA-2L,human lysozyme,PamyB::amyB-kex2-HLY-kex2-HLY::TamyB::sC (pA2LS),"5x DPY, pH 8.0 (7.8 by end), 100 mL, 30C, 1e6 conidia, 3-5 d",no_reported_defect,
JIN2007_TPPA,JIN2007,NAR-2L-7,NA-2L,human lysozyme,PamyB::amyB-kex2-HLY-kex2-HLY::TamyB::sC (pA2LS),"5x DPY, pH 8.0 (7.8 by end), 100 mL, 30C, 1e6 conidia, 3-5 d",no_reported_defect,
JIN2007_PALB,JIN2007,NAR-2L-7,NA-2L,human lysozyme,PamyB::amyB-kex2-HLY-kex2-HLY::TamyB::sC (pA2LS),"5x DPY, pH 8.0 (7.8 by end), 100 mL, 30C, 1e6 conidia, 3-5 d",no_reported_defect,
JIN2007_TPPA_PEPE,JIN2007,NA-2L-peE10,N-2L,human lysozyme,PamyB::amyB-kex2-HLY-kex2-HLY::TamyB::sC (pA2LS),"5x DPY, pH 8.0 (7.8 by end), 100 mL, 30C, 1e6 conidia, 3-5 d",no_reported_defect,"Measured against N-2L, which has no protease deletions, so the reported change represents the combined effect of both deletions rather than the incremental effect of adding tppA to the pepE disruptant."
JIN2007_TPPA_PALB,JIN2007,NA-2L-pa3,N-2L,human lysozyme,PamyB::amyB-kex2-HLY-kex2-HLY::TamyB::sC (pA2LS),"5x DPY, pH 8.0 (7.8 by end), 100 mL, 30C, 1e6 conidia, 3-5 d",no_reported_defect,"Produced less HLY than either single disruptant; the authors state that the mechanism is unknown. Measured against N-2L, so the comparison represents the combined effect of both deletions."
YOON2013_AOATG1_DELETED,YOON2013,NSKu70-Aoatg1,SlD-AKC1,bovine chymosin,PamyB::amyB-kex2-CHY::TamyB::niaD (pgAKCN),"5x DPY, pH 5.5, 20 mL, 30C, 2e5 conidia, 3-6 d",conidiation_impaired,
YOON2013_AOATG4_DELETED,YOON2013,NSKu70-ΔAoatg4-2,SlD-AKC1,bovine chymosin,PamyB::amyB-kex2-CHY::TamyB::niaD (pgAKCN),"5x DPY, pH 5.5, 20 mL, 30C, 2e5 conidia, 3-6 d",conidiation_impaired,
YOON2013_AOATG8_DELETED,YOON2013,ΔAoatg8,SlD-AKC1,bovine chymosin,PamyB::amyB-kex2-CHY::TamyB::niaD (pgAKCN),"5x DPY, pH 5.5, 20 mL, 30C, 2e5 conidia, 3-6 d",conidiation_impaired,Different lineage from the other disruptants: the ΔAoatg8 parent derives from NSR13 rather than NSRKu70-1-1.
YOON2013_AOATG13_DELETED,YOON2013,NSKu70-ΔAoatg13,SlD-AKC1,bovine chymosin,PamyB::amyB-kex2-CHY::TamyB::niaD (pgAKCN),"5x DPY, pH 5.5, 20 mL, 30C, 2e5 conidia, 3-6 d",conidiation_reduced,Only a slight production increase was observed. The authors connect the smaller gain with incomplete autophagy suppression; this disruptant still formed some conidia.
YOON2013_AOATG15_DELETED,YOON2013,NSKu70-ΔAoatg15-10-1,SlD-AKC1,bovine chymosin,PamyB::amyB-kex2-CHY::TamyB::niaD (pgAKCN),"5x DPY, pH 5.5, 20 mL, 30C, 2e5 conidia, 3-6 d",conidiation_impaired,"No significant increase, unlike conditional Aoatg15 expression. The authors suggest the deletion strain's immature, unpigmented conidia may contribute to the difference."
YOON2013_AOATG1_REPRESSIBLE,YOON2013,NSlD-PtA1,SlD-AKC1,bovine chymosin,PamyB::amyB-kex2-CHY::TamyB::niaD (pgAKCN),"5x DPY, pH 5.5, 20 mL, 30C, 2e5 conidia, 4 d, no externally added thiamine",conidiation_largely_restored,
YOON2013_AOATG4_REPRESSIBLE,YOON2013,NSlD-PtA4,SlD-AKC1,bovine chymosin,PamyB::amyB-kex2-CHY::TamyB::niaD (pgAKCN),"5x DPY, pH 5.5, 20 mL, 30C, 2e5 conidia, 4 d, no externally added thiamine",conidiation_largely_restored,
YOON2013_AOATG8_REPRESSIBLE,YOON2013,NSlD-PtA8,SlD-AKC1,bovine chymosin,PamyB::amyB-kex2-CHY::TamyB::niaD (pgAKCN),"5x DPY, pH 5.5, 20 mL, 30C, 2e5 conidia, 4 d, no externally added thiamine",conidiation_reduced,
YOON2013_AOATG15_REPRESSIBLE,YOON2013,NSlD-PtA15,SlD-AKC1,bovine chymosin,PamyB::amyB-kex2-CHY::TamyB::niaD (pgAKCN),"5x DPY, pH 5.5, 20 mL, 30C, 2e5 conidia, 4 d, no externally added thiamine",conidiation_reduced,
